# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# INNER-BLOCK selection table.  These are the ONLY numbers the recipe is chosen on; the eval era's outcome never enters.
era	scope	k	n_seeds	inner_armed_usd
E5	ALL	55	2	518.89
E5	ALL	60	2	675.8
E5	ALL	65	2	280.74
E5	ALL	70	2	690.73
E5	ALL	75	2	251.74
E5	ALL	80	2	348.14
E5	SI	55	2	521.74
E5	SI	60	2	733.77
E5	SI	65	2	325.43
E5	SI	70	2	835.64
E5	SI	75	2	320.32
E5	SI	80	2	367.59
E5	HG	55	2	542.53
E5	HG	60	2	597.43
E5	HG	65	2	328.92
E5	HG	70	2	569.47
E5	HG	75	2	278.69
E5	HG	80	2	325.71
E5	NKD	55	2	492.61
E5	NKD	60	2	696.03
E5	NKD	65	2	188.59
E5	NKD	70	2	667.25
E5	NKD	75	2	156.96
E5	NKD	80	2	351.1
E6	ALL	55	2	580.88
E6	ALL	60	2	1098.08
E6	ALL	65	2	1098.08
E6	ALL	70	2	1051.95
E6	ALL	75	2	1081.13
E6	ALL	80	2	1069.22
E6	SI	55	2	581.29
E6	SI	60	2	1109.35
E6	SI	65	2	1109.35
E6	SI	70	2	1004.0
E6	SI	75	2	1034.25
E6	SI	80	2	1023.16
E6	HG	55	2	350.43
E6	HG	60	2	868.69
E6	HG	65	2	868.69
E6	HG	70	2	868.74
E6	HG	75	2	879.05
E6	HG	80	2	859.24
E6	NKD	55	2	810.93
E6	NKD	60	2	1316.2
E6	NKD	65	2	1316.2
E6	NKD	70	2	1283.1
E6	NKD	75	2	1330.11
E6	NKD	80	2	1325.25
E7	ALL	55	2	1125.72
E7	ALL	60	2	1382.37
E7	ALL	65	2	1327.73
E7	ALL	70	2	746.13
E7	ALL	75	2	893.37
E7	ALL	80	2	873.49
E7	SI	55	2	1181.28
E7	SI	60	2	1529.73
E7	SI	65	2	1441.53
E7	SI	70	2	796.85
E7	SI	75	2	1045.97
E7	SI	80	2	963.01
E7	HG	55	2	912.81
E7	HG	60	2	1148.05
E7	HG	65	2	1118.71
E7	HG	70	2	670.99
E7	HG	75	2	781.18
E7	HG	80	2	833.46
E7	NKD	55	2	1283.06
E7	NKD	60	2	1469.33
E7	NKD	65	2	1422.94
E7	NKD	70	2	770.54
E7	NKD	75	2	852.97
E7	NKD	80	2	823.99
E3	ALL	55	2	641.9
E3	ALL	60	2	639.87
E3	ALL	65	2	641.26
E3	ALL	70	2	722.92
E3	ALL	75	2	675.81
E3	ALL	80	2	726.31
E3	SI	55	2	560.23
E3	SI	60	2	561.87
E3	SI	65	2	551.62
E3	SI	70	2	693.75
E3	SI	75	2	625.73
E3	SI	80	2	639.5
E3	HG	55	2	585.72
E3	HG	60	2	562.11
E3	HG	65	2	578.02
E3	HG	70	2	644.75
E3	HG	75	2	571.74
E3	HG	80	2	636.15
E3	NKD	55	2	779.75
E3	NKD	60	2	795.63
E3	NKD	65	2	794.13
E3	NKD	70	2	830.27
E3	NKD	75	2	829.95
E3	NKD	80	2	903.28
E4	ALL	55	2	942.05
E4	ALL	60	2	942.05
E4	ALL	65	2	913.04
E4	ALL	70	2	535.52
E4	ALL	75	2	493.05
E4	ALL	80	2	1125.26
E4	SI	55	2	1246.57
E4	SI	60	2	1246.57
E4	SI	65	2	1191.93
E4	SI	70	2	843.81
E4	SI	75	2	695.92
E4	SI	80	2	1291.92
E4	HG	55	2	874.98
E4	HG	60	2	874.98
E4	HG	65	2	789.49
E4	HG	70	2	381.29
E4	HG	75	2	400.35
E4	HG	80	2	1133.25
E4	NKD	55	2	704.6
E4	NKD	60	2	704.6
E4	NKD	65	2	757.7
E4	NKD	70	2	381.45
E4	NKD	75	2	382.87
E4	NKD	80	2	950.62
