# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# WITHIN-CELL permutation: the group's values are shuffled AMONG THE CELL'S OWN MEMBERS, so every marginal the model might use for level information survives and only the ORDERING content is destroyed.
# ordering_contribution = base - permuted.  Negative means the group's ordering content is dead weight at this configuration.
era	feature_group	n_columns	base_usd	permuted_usd	ordering_contribution_usd
E5	class	20	959.4	957.87	1.53
E5	clock	7	959.4	968.93	-9.53
E5	episode	7	959.4	926.49	32.91
E5	era	8	959.4	959.4	0.0
E5	event	10	959.4	950.46	8.95
E5	flow	20	959.4	366.06	593.35
E5	forecast	15	959.4	952.25	7.15
E5	fuel_poc	7	959.4	790.68	168.72
E5	geometry	11	959.4	603.41	355.99
E5	level	18	959.4	940.12	19.28
E5	news	16	959.4	951.83	7.57
E5	p030_p033	4	959.4	959.21	0.19
E5	regime	11	959.4	970.51	-11.11
E5	runway	5	959.4	1050.91	-91.51
E5	seat	7	959.4	971.79	-12.39
E5	xasset	18	959.4	977.68	-18.28
E6	class	20	927.02	916.49	10.53
E6	clock	7	927.02	958.42	-31.4
E6	episode	7	927.02	966.8	-39.78
E6	era	8	927.02	927.02	0.0
E6	event	10	927.02	944.55	-17.53
E6	flow	20	927.02	474.27	452.75
E6	forecast	15	927.02	928.65	-1.63
E6	fuel_poc	7	927.02	762.64	164.39
E6	geometry	11	927.02	486.32	440.71
E6	level	18	927.02	959.25	-32.23
E6	news	16	927.02	883.44	43.59
E6	p030_p033	4	927.02	946.91	-19.89
E6	regime	11	927.02	976.55	-49.53
E6	runway	5	927.02	1003.64	-76.61
E6	seat	7	927.02	936.76	-9.73
E6	xasset	18	927.02	940.39	-13.36
E7	class	20	966.28	956.85	9.43
E7	clock	7	966.28	987.94	-21.66
E7	episode	7	966.28	835.94	130.34
E7	era	8	966.28	966.28	0.0
E7	event	10	966.28	915.03	51.26
E7	flow	20	966.28	417.5	548.78
E7	forecast	15	966.28	944.38	21.9
E7	fuel_poc	7	966.28	718.02	248.27
E7	geometry	11	966.28	544.48	421.8
E7	level	18	966.28	959.03	7.25
E7	news	16	966.28	978.42	-12.13
E7	p030_p033	4	966.28	951.33	14.95
E7	regime	11	966.28	948.02	18.26
E7	runway	5	966.28	933.36	32.92
E7	seat	7	966.28	984.86	-18.58
E7	xasset	18	966.28	958.41	7.87
