# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE MORE-INFORMATION-OR-BETTER-MODELLING SPLIT.
# MEMORIZER is NON-CAUSAL BY DESIGN: unconstrained capacity, fitted on the evaluation rows and scored on them.  It is a REPRESENTATION CEILING, never a result.
# information_absent = oracle - memoriser: no model of these columns can close it; only new features or new data can.
# expressible_not_learnable = memoriser - honest: the columns CAN express it and the walk-forward fit does not get it; history, pooling and regularisation are the levers there.
feature_set	era	oracle_usd	memorizer_usd	honest_usd	information_absent_usd	expressible_not_learnable_usd	absent_frac	not_learnable_frac	n_columns	secs
BASE	E3	2969.1	2596.38	837.83	372.72	1758.55	0.1255	0.5923	184	31.6
BASE	E4	2744.17	2369.45	1195.99	374.72	1173.46	0.1366	0.4276	184	43.2
BASE	E5	2582.61	2189.43	959.4	393.18	1230.02	0.1522	0.4763	184	46.2
BASE	E6	3366.93	2906.71	927.02	460.22	1979.69	0.1367	0.588	184	47.2
BASE	E7	4085.25	3550.7	966.28	534.56	2584.41	0.1309	0.6326	184	57.6
CELLREL	E3	2969.1	2593.45	349.1	375.66	2244.35	0.1265	0.7559	248	41.4
CELLREL	E4	2744.17	2353.56	943.0	390.62	1410.56	0.1423	0.514	248	55.4
CELLREL	E5	2582.61	2188.63	634.11	393.98	1554.52	0.1525	0.6019	248	59.1
CELLREL	E6	3366.93	2926.13	551.03	440.8	2375.1	0.1309	0.7054	248	60.8
CELLREL	E7	4085.25	3576.09	1038.32	509.16	2537.77	0.1246	0.6212	248	72.8
DAYSOFAR	E3	2969.1	2614.05	183.51	355.05	2430.55	0.1196	0.8186	193	33.2
DAYSOFAR	E4	2744.17	2348.39	818.39	395.78	1530.0	0.1442	0.5575	193	45.0
DAYSOFAR	E5	2582.61	2198.19	697.69	384.42	1500.5	0.1488	0.581	193	48.2
DAYSOFAR	E6	3366.93	2904.58	399.37	462.35	2505.21	0.1373	0.7441	193	49.0
DAYSOFAR	E7	4085.25	3563.21	988.16	522.04	2575.05	0.1278	0.6303	193	61.8
TABPFN	E3	2969.1	2600.06	221.16	369.04	2378.91	0.1243	0.8012	185	31.7
TABPFN	E4	2744.17	2336.13	791.46	408.04	1544.67	0.1487	0.5629	185	43.9
TABPFN	E5	2582.61	2189.02	696.18	393.59	1492.85	0.1524	0.578	185	47.1
TABPFN	E6	3366.93	2909.14	317.18	457.8	2591.96	0.136	0.7698	185	50.1
TABPFN	E7	4085.25	3592.51	1347.74	492.75	2244.77	0.1206	0.5495	185	60.7
DIP	E3	2969.1	2583.06	364.62	386.04	2218.45	0.13	0.7472	185	39.3
DIP	E4	2744.17	2347.37	766.09	396.8	1581.28	0.1446	0.5762	185	50.9
DIP	E5	2582.61	2193.35	653.56	389.26	1539.79	0.1507	0.5962	185	53.3
DIP	E6	3366.93	2934.89	1051.98	432.05	1882.91	0.1283	0.5592	185	54.8
DIP	E7	4085.25	3564.48	563.36	520.77	3001.13	0.1275	0.7346	185	62.5
