# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
feature_set	era	phase	n_rows	oracle_usd	memorizer_usd	honest_usd	information_absent_usd	expressible_not_learnable_usd
BASE	E3	0	37139	851.39	729.33	275.07	122.07	454.26
BASE	E3	1	31482	771.46	660.37	234.22	111.09	426.15
BASE	E3	2	83201	1389.15	1206.68	328.54	182.47	878.14
BASE	E4	0	38753	814.95	695.36	360.86	119.59	334.5
BASE	E4	1	25633	627.87	536.83	205.05	91.04	331.79
BASE	E4	2	84032	1301.35	1137.26	630.08	164.09	507.18
BASE	E5	0	46832	859.41	733.84	305.37	125.57	428.47
BASE	E5	1	25820	562.07	466.09	232.47	95.98	233.62
BASE	E5	2	80295	1161.13	989.49	421.57	171.64	567.93
BASE	E6	0	52044	1182.68	1032.03	335.82	150.65	696.21
BASE	E6	1	24254	634.52	535.54	175.27	98.97	360.27
BASE	E6	2	86764	1549.74	1339.14	415.93	210.6	923.21
BASE	E7	0	51282	1490.21	1289.78	303.44	200.43	986.34
BASE	E7	1	25733	861.78	752.81	214.2	108.97	538.61
BASE	E7	2	81261	1733.26	1508.1	448.64	225.16	1059.46
CELLREL	E3	0	37139	851.39	730.71	-34.64	120.69	765.35
CELLREL	E3	1	31482	771.46	652.77	193.54	118.69	459.23
CELLREL	E3	2	83201	1389.15	1209.97	187.08	179.18	1022.89
CELLREL	E4	0	38753	814.95	693.65	202.52	121.3	491.14
CELLREL	E4	1	25633	627.87	528.34	234.24	99.53	294.11
CELLREL	E4	2	84032	1301.35	1131.56	503.83	169.79	627.73
CELLREL	E5	0	46832	859.41	740.19	112.8	119.22	627.39
CELLREL	E5	1	25820	562.07	462.89	174.04	99.18	288.86
CELLREL	E5	2	80295	1161.13	985.55	347.28	175.58	638.28
CELLREL	E6	0	52044	1182.68	1046.4	129.08	136.28	917.32
CELLREL	E6	1	24254	634.52	532.04	151.43	102.47	380.62
CELLREL	E6	2	86764	1549.74	1347.69	270.52	202.05	1077.16
CELLREL	E7	0	51282	1490.21	1298.23	418.57	191.98	879.66
CELLREL	E7	1	25733	861.78	778.75	234.17	83.03	544.58
CELLREL	E7	2	81261	1733.26	1499.12	385.59	234.14	1113.53
DAYSOFAR	E3	0	37139	851.39	740.74	-13.61	110.66	754.35
DAYSOFAR	E3	1	31482	771.46	654.9	69.37	116.55	585.54
