# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE AXIS THAT SURVIVED THE INVERSION.  Overall within-day spearman is ANTI-CORRELATED with what pays; these are the statistics restricted to the region a threshold rule seats.
# SEED_ENSEMBLE columns score the MEAN of the seed columns rather than averaging their scores — bagging judged on tail quality only, which is one of the named levers.
# K_* are the champion-base climb variants: the champion's own pairwise objective grouped by CELL on within-cell certificate grades, with one lever changed each.
era	score_column	n_seeds	topdec_spearman_PERSEED	tail_lift_q90_PERSEED	tail_lift_q95_PERSEED	tail_lift_q99_PERSEED	topdec_spearman_SEED_ENSEMBLE	tail_lift_q90_SEED_ENSEMBLE	tail_lift_q95_SEED_ENSEMBLE
E5	S_XGB	5	0.27724	143.82	211.45	301.96	0.28352	146.06	212.59
E5	A_EV_RAW	5	0.08338	68.75	87.37	110.89	0.10164	98.66	122.86
E5	H3_DAYZ	5	0.1777	37.15	72.71	121.39	0.23064	47.59	89.44
E5	V_SHALLOW	5	0.21224	33.62	62.29	113.03	0.2122	35.51	67.66
E5	V_FLOWGEO	5	0.17695	65.46	99.33	139.98	0.20474	70.68	112.57
E5	K_BASE	5	0.33558	124.79	232.08	392.1	0.31666	112.63	212.87
E5	K_FLOWGEO	5	0.32777	115.23	210.1	367.61	0.32774	118.2	209.11
E5	K_NOMONO	5	0.29517	139.95	226.61	338.89	0.28439	134.95	234.46
E5	K_SHALLOW	5	0.28344	80.97	170.02	339.51	0.3025	85.98	179.01
E5	K_TAILW	5	0.19456	76.52	168.34	282.82	0.20296	84.0	185.56
E5	K_TAILW3	5	0.24151	121.6	211.95	341.81	0.24602	119.75	214.37
E5	A1_TAILPOP	5	0.15797	1.03	26.03	72.38	0.16156	0.74	24.85
E5	A1_TAILPOP_FG	5	0.16806	2.3	26.86	103.26	0.17396	1.24	25.87
E5	A2_LAMBDAK	5	0.32376	135.92	242.86	364.9	0.33095	131.07	250.34
E5	A2_LAMBDAK_FG	5	0.2966	130.23	215.39	340.0	0.29959	129.71	212.04
E5	A3_TAILPAIR	5	-0.00956	-26.91	-46.05	-61.22	-0.01751	-27.49	-50.78
E5	A4_AGREE	1	0.02273	4.96	15.3	36.2	0.02273	4.96	15.3
E5	A4_TSTAT	1	0.14074	108.98	170.49	225.91	0.14074	108.98	170.49
E5	ORACLE_DAYRANK	1	0.99498	1090.06	1226.71	1384.53	0.99498	1090.06	1226.71
E6	S_XGB	5	0.23448	167.89	244.64	390.43	0.25659	228.12	314.96
E6	A_EV_RAW	5	0.1981	103.57	149.13	204.43	0.2272	131.27	175.43
E6	H3_DAYZ	5	0.16665	64.35	96.72	155.24	0.21277	74.62	110.46
E6	V_SHALLOW	5	0.17915	58.72	87.23	140.04	0.20649	59.02	93.36
E6	V_FLOWGEO	5	0.15133	64.91	102.12	146.48	0.16613	69.32	104.69
E6	K_BASE	5	0.28394	93.37	189.56	394.48	0.29627	74.8	176.95
E6	K_FLOWGEO	5	0.30536	112.31	203.29	409.14	0.31627	99.85	208.75
E6	K_NOMONO	5	0.27623	209.08	309.53	473.28	0.28955	227.23	339.12
E6	K_SHALLOW	5	0.27103	170.11	239.57	429.7	0.31288	236.69	327.86
E6	K_TAILW	5	0.2188	109.08	227.68	404.37	0.25481	111.29	252.68
E6	K_TAILW3	5	0.2723	152.89	279.77	479.1	0.29895	153.98	287.88
E6	A1_TAILPOP	5	0.05026	17.59	21.23	4.47	0.04558	18.36	21.18
E6	A1_TAILPOP_FG	5	0.04679	19.1	19.04	0.93	0.03718	21.15	18.61
E6	A2_LAMBDAK	5	0.33803	206.93	337.17	551.35	0.37765	213.99	365.33
E6	A2_LAMBDAK_FG	5	0.29894	195.06	299.84	469.75	0.31635	197.08	302.18
E6	A3_TAILPAIR	5	0.00754	2.9	4.2	-6.11	0.00328	2.39	5.9
E6	A4_AGREE	1	-0.02355	39.84	47.9	80.81	-0.02355	39.84	47.9
E6	A4_TSTAT	1	0.0871	192.59	265.73	355.26	0.0871	192.59	265.73
E6	ORACLE_DAYRANK	1	0.99579	1418.55	1611.34	1818.0	0.99579	1418.55	1611.34
E7	S_XGB	5	0.25434	175.41	267.21	429.35	0.26356	174.61	268.34
