# PORT M2 — every SHIPPED teacher gate re-measured on the full D-088 era ladder (1.4M candidates, 8 eras)
# target = D-021 winner (cert_close >= $1,000 AND MAE <= $300 AND not walled); base = the ERA's own winner rate
# ci_lo/ci_hi are CR1 intervals on the GATE's rate, clustered by calendar day; p is on (rate - era base)
era	gate	round1_2_verdict	n	era_base	gate_rate	lift	ci_lo	ci_hi	p_vs_base
E1	SEAT_LIVE	PROVEN r1 2.62x / DECAYED r2	32809	0.05262	0.08101	1.5395	0.06764	0.09439	4.9e-05
E1	SEAT_DEAD_TIME	PROVEN r1 0.04x / WEAKENED	11737	0.05262	0.00682	0.1295	-0.00095	0.01459	0.0
E1	PHASE_SPENT	PROVEN r1 0.54x / HOLDS_WEAK	68135	0.05262	0.04139	0.7865	0.0336	0.04918	0.005047
E1	COV_SWEET_20_60	PROVEN r1 2.00x / BROKEN	43040	0.05262	0.06371	1.2107	0.05273	0.07468	0.04777
E1	capacity_room	PROVEN r1 1.70x	63682	0.05262	0.06646	1.2629	0.05621	0.0767	0.008541
E1	capacity_big	PROVEN r1 2.23x / BROKEN r2	18986	0.05262	0.08822	1.6765	0.07166	0.10479	4e-05
E1	LEVEL_VIRGIN	SUPPORTED r1 1.67x / UNSTABLE	16427	0.05262	0.06008	1.1418	0.04862	0.07155	0.200225
E1	LEVEL_NEAR	leg, 0.97x alone in r1	133073	0.05262	0.05222	0.9923	0.04639	0.05805	0.891298
E1	PHASE_OPEN_RESET	UNSTABLE r1 1.65x	14558	0.05262	0.08717	1.6565	0.07367	0.10067	1e-06
E1	NAMED_TRIAD	SUPPORTED r1 1.77x pooled	5461	0.05262	0.0835	1.5868	0.0668	0.1002	0.000369
E1	NAMED_TRIAD_soft	PROVEN r1 1.64x	34880	0.05262	0.06276	1.1926	0.05247	0.07305	0.053531
E2	SEAT_LIVE	PROVEN r1 2.62x / DECAYED r2	18584	0.06408	0.08712	1.3595	0.07087	0.10336	0.005797
E2	SEAT_DEAD_TIME	PROVEN r1 0.04x / WEAKENED	16153	0.06408	0.00371	0.058	0.00153	0.0059	0.0
E2	PHASE_SPENT	PROVEN r1 0.54x / HOLDS_WEAK	126908	0.06408	0.05553	0.8665	0.04926	0.06179	0.007854
E2	COV_SWEET_20_60	PROVEN r1 2.00x / BROKEN	26654	0.06408	0.08944	1.3958	0.07616	0.10272	0.000241
E2	capacity_room	PROVEN r1 1.70x	36528	0.06408	0.09111	1.4218	0.07776	0.10445	0.000104
E2	capacity_big	PROVEN r1 2.23x / BROKEN r2	11371	0.06408	0.08302	1.2955	0.06456	0.10147	0.044378
E2	LEVEL_VIRGIN	SUPPORTED r1 1.67x / UNSTABLE	19904	0.06408	0.06657	1.0389	0.05526	0.07788	0.663953
E2	LEVEL_NEAR	leg, 0.97x alone in r1	161630	0.06408	0.06456	1.0075	0.05848	0.07064	0.875793
E2	PHASE_OPEN_RESET	UNSTABLE r1 1.65x	12750	0.06408	0.09969	1.5557	0.08318	0.11619	3.8e-05
E2	NAMED_TRIAD	SUPPORTED r1 1.77x pooled	4791	0.06408	0.09518	1.4853	0.07244	0.11792	0.007747
E2	NAMED_TRIAD_soft	PROVEN r1 1.64x	20554	0.06408	0.08548	1.334	0.07168	0.09928	0.002627
E3	SEAT_LIVE	PROVEN r1 2.62x / DECAYED r2	26339	0.05641	0.07646	1.3555	0.0607	0.09223	0.013095
E3	SEAT_DEAD_TIME	PROVEN r1 0.04x / WEAKENED	13795	0.05641	0.00449	0.0797	0.00111	0.00788	0.0
E3	PHASE_SPENT	PROVEN r1 0.54x / HOLDS_WEAK	86751	0.05641	0.05654	1.0023	0.04717	0.06591	0.978292
E3	COV_SWEET_20_60	PROVEN r1 2.00x / BROKEN	41027	0.05641	0.05489	0.973	0.0445	0.06529	0.772635
E3	capacity_room	PROVEN r1 1.70x	54588	0.05641	0.05983	1.0606	0.04936	0.0703	0.519558
E3	capacity_big	PROVEN r1 2.23x / BROKEN r2	11827	0.05641	0.07855	1.3924	0.05732	0.09977	0.041063
E3	LEVEL_VIRGIN	SUPPORTED r1 1.67x / UNSTABLE	21306	0.05641	0.04548	0.8062	0.03599	0.05497	0.024264
E3	LEVEL_NEAR	leg, 0.97x alone in r1	146871	0.05641	0.05621	0.9963	0.04929	0.06312	0.95306
E3	PHASE_OPEN_RESET	UNSTABLE r1 1.65x	16625	0.05641	0.0658	1.1665	0.05248	0.07913	0.165577
E3	NAMED_TRIAD	SUPPORTED r1 1.77x pooled	6219	0.05641	0.05982	1.0604	0.04427	0.07536	0.665478
E3	NAMED_TRIAD_soft	PROVEN r1 1.64x	29841	0.05641	0.06052	1.0728	0.0493	0.07174	0.470064
E4	SEAT_LIVE	PROVEN r1 2.62x / DECAYED r2	38586	0.0518	0.07775	1.5011	0.06397	0.09153	0.00029
E4	SEAT_DEAD_TIME	PROVEN r1 0.04x / WEAKENED	13828	0.0518	0.0026	0.0503	-0.00018	0.00539	0.0
E4	PHASE_SPENT	PROVEN r1 0.54x / HOLDS_WEAK	65001	0.0518	0.04168	0.8046	0.03414	0.04922	0.008928
E4	COV_SWEET_20_60	PROVEN r1 2.00x / BROKEN	50061	0.0518	0.06119	1.1813	0.05157	0.0708	0.055533
E4	capacity_room	PROVEN r1 1.70x	74044	0.0518	0.06503	1.2555	0.05628	0.07378	0.003335
E4	capacity_big	PROVEN r1 2.23x / BROKEN r2	21813	0.0518	0.08541	1.6489	0.06808	0.10274	0.000195
E4	LEVEL_VIRGIN	SUPPORTED r1 1.67x / UNSTABLE	19341	0.0518	0.0515	0.9942	0.04175	0.06124	0.951688
E4	LEVEL_NEAR	leg, 0.97x alone in r1	143635	0.0518	0.05125	0.9894	0.04563	0.05687	0.84727
E4	PHASE_OPEN_RESET	UNSTABLE r1 1.65x	15485	0.0518	0.0671	1.2954	0.05397	0.08023	0.022721
E4	NAMED_TRIAD	SUPPORTED r1 1.77x pooled	5931	0.0518	0.05851	1.1296	0.04219	0.07482	0.417198
E4	NAMED_TRIAD_soft	PROVEN r1 1.64x	41400	0.0518	0.06312	1.2186	0.05377	0.07246	0.018005
E5	SEAT_LIVE	PROVEN r1 2.62x / DECAYED r2	39325	0.04752	0.08008	1.6852	0.0665	0.09365	5e-06
E5	SEAT_DEAD_TIME	PROVEN r1 0.04x / WEAKENED	15006	0.04752	0.00387	0.0813	0.00109	0.00664	0.0
E5	PHASE_SPENT	PROVEN r1 0.54x / HOLDS_WEAK	62622	0.04752	0.03721	0.783	0.02822	0.04619	0.024834
E5	COV_SWEET_20_60	PROVEN r1 2.00x / BROKEN	56499	0.04752	0.05416	1.1398	0.04468	0.06364	0.168134
E5	capacity_room	PROVEN r1 1.70x	75462	0.04752	0.06446	1.3565	0.05481	0.0741	0.0007
E5	capacity_big	PROVEN r1 2.23x / BROKEN r2	22485	0.04752	0.08606	1.811	0.06874	0.10337	2.2e-05
E5	LEVEL_VIRGIN	SUPPORTED r1 1.67x / UNSTABLE	22370	0.04752	0.04443	0.9351	0.03482	0.05405	0.52702
E5	LEVEL_NEAR	leg, 0.97x alone in r1	148547	0.04752	0.04643	0.9771	0.03977	0.05309	0.746824
E5	PHASE_OPEN_RESET	UNSTABLE r1 1.65x	15542	0.04752	0.07547	1.5883	0.06142	0.08952	0.000135
E5	NAMED_TRIAD	SUPPORTED r1 1.77x pooled	6144	0.04752	0.06348	1.3358	0.04602	0.08093	0.072755
E5	NAMED_TRIAD_soft	PROVEN r1 1.64x	41458	0.04752	0.06122	1.2883	0.05141	0.07102	0.006544
E6	SEAT_LIVE	PROVEN r1 2.62x / DECAYED r2	44091	0.06024	0.0934	1.5503	0.0817	0.10509	0.0
E6	SEAT_DEAD_TIME	PROVEN r1 0.04x / WEAKENED	17174	0.06024	0.00769	0.1276	0.00358	0.0118	0.0
E6	PHASE_SPENT	PROVEN r1 0.54x / HOLDS_WEAK	73711	0.06024	0.05728	0.9508	0.04957	0.06498	0.447538
E6	COV_SWEET_20_60	PROVEN r1 2.00x / BROKEN	52802	0.06024	0.06399	1.0622	0.0553	0.07268	0.394926
E6	capacity_room	PROVEN r1 1.70x	83496	0.06024	0.07014	1.1642	0.0619	0.07837	0.018934
E6	capacity_big	PROVEN r1 2.23x / BROKEN r2	29967	0.06024	0.09327	1.5482	0.08025	0.10629	2e-06
E6	LEVEL_VIRGIN	SUPPORTED r1 1.67x / UNSTABLE	21591	0.06024	0.05859	0.9725	0.04892	0.06826	0.735413
E6	LEVEL_NEAR	leg, 0.97x alone in r1	152005	0.06024	0.05937	0.9855	0.05387	0.06488	0.754633
E6	PHASE_OPEN_RESET	UNSTABLE r1 1.65x	16605	0.06024	0.07383	1.2256	0.06111	0.08655	0.036488
E6	NAMED_TRIAD	SUPPORTED r1 1.77x pooled	6211	0.06024	0.0673	1.1171	0.0519	0.0827	0.366411
E6	NAMED_TRIAD_soft	PROVEN r1 1.64x	44652	0.06024	0.06488	1.0769	0.05659	0.07317	0.270499
E7	SEAT_LIVE	PROVEN r1 2.62x / DECAYED r2	51026	0.06521	0.0914	1.4018	0.08153	0.10128	1e-06
E7	SEAT_DEAD_TIME	PROVEN r1 0.04x / WEAKENED	18177	0.06521	0.01342	0.2059	0.007	0.01984	0.0
E7	PHASE_SPENT	PROVEN r1 0.54x / HOLDS_WEAK	69750	0.06521	0.05858	0.8984	0.05175	0.06541	0.057111
E7	COV_SWEET_20_60	PROVEN r1 2.00x / BROKEN	53187	0.06521	0.07821	1.1995	0.06853	0.0879	0.008887
E7	capacity_room	PROVEN r1 1.70x	89350	0.06521	0.07349	1.127	0.06606	0.08092	0.029226
E7	capacity_big	PROVEN r1 2.23x / BROKEN r2	44892	0.06521	0.08799	1.3494	0.07761	0.09836	2.8e-05
E7	LEVEL_VIRGIN	SUPPORTED r1 1.67x / UNSTABLE	19853	0.06521	0.06483	0.9942	0.05575	0.0739	0.934138
E7	LEVEL_NEAR	leg, 0.97x alone in r1	139981	0.06521	0.06514	0.9991	0.0594	0.07089	0.983095
E7	PHASE_OPEN_RESET	UNSTABLE r1 1.65x	16598	0.06521	0.07712	1.1827	0.06564	0.08859	0.042007
E7	NAMED_TRIAD	SUPPORTED r1 1.77x pooled	6007	0.06521	0.06959	1.0672	0.05448	0.08469	0.567158
E7	NAMED_TRIAD_soft	PROVEN r1 1.64x	47528	0.06521	0.07019	1.0764	0.06214	0.07824	0.222731
E8	SEAT_LIVE	PROVEN r1 2.62x / DECAYED r2	56737	0.06587	0.08633	1.3106	0.07754	0.09512	1e-05
E8	SEAT_DEAD_TIME	PROVEN r1 0.04x / WEAKENED	18900	0.06587	0.01683	0.2554	0.0066	0.02705	0.0
E8	PHASE_SPENT	PROVEN r1 0.54x / HOLDS_WEAK	77461	0.06587	0.05879	0.8925	0.05113	0.06645	0.069681
E8	COV_SWEET_20_60	PROVEN r1 2.00x / BROKEN	57163	0.06587	0.073	1.1083	0.06429	0.08171	0.107574
E8	capacity_room	PROVEN r1 1.70x	99522	0.06587	0.07268	1.1033	0.06604	0.07931	0.04447
E8	capacity_big	PROVEN r1 2.23x / BROKEN r2	54134	0.06587	0.07843	1.1908	0.0705	0.08637	0.002156
E8	LEVEL_VIRGIN	SUPPORTED r1 1.67x / UNSTABLE	19103	0.06587	0.06753	1.0252	0.05719	0.07786	0.751303
E8	LEVEL_NEAR	leg, 0.97x alone in r1	148846	0.06587	0.06562	0.9962	0.06099	0.07025	0.914391
E8	PHASE_OPEN_RESET	UNSTABLE r1 1.65x	22629	0.06587	0.07937	1.2049	0.06771	0.09103	0.02365
E8	NAMED_TRIAD	SUPPORTED r1 1.77x pooled	7494	0.06587	0.08193	1.2438	0.06546	0.0984	0.055897
E8	NAMED_TRIAD_soft	PROVEN r1 1.64x	50325	0.06587	0.06907	1.0486	0.06209	0.07605	0.366081
