# PORT M2 D-028 cross-asset marginal information (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-XASSET-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# delta_capture = capture(b) - capture(a) as ONE clustered ratio: sum over sessions of (realised_b - realised_a) / sum(oracle), CR1 interval CLUSTERED BY DAY (the D-036/D-073 draw unit).  This is a PAIRED interval — the two arms share every session and the whole denominator — so it is far tighter than differencing two separate arm CIs
# rho = out-of-fold Spearman of the champion head; auc = the winner head's ROC AUC.  Both are SCHEDULE-FREE readings and move before capture does
regime	comparison	capture_a	capture_b	delta_capture	ci_lo	ci_hi	n_clusters	delta_usd	oracle_usd	n_feat_a	n_feat_b	rho_a	rho_b	auc_a	auc_b	exp_a	exp_b
HONEST_KFOLD_DAY	b_BASE_plus_XASSET MINUS a_BASE_225	0.0527437	0.0430915	-0.00965218	-0.0412193	0.021915	128	-11193.8	1.15971e+06	219	249	0.4532	0.4604	0.6944	0.6871	127.698	102.196
HONEST_KFOLD_DAY	b0_BASE_no_xa_plus_XASSET MINUS a0_BASE_207_no_xa	0.0526197	0.0546116	0.00199187	-0.0338602	0.037844	128	2310	1.15971e+06	201	231	0.4672	0.4635	0.701	0.6987	134.414	137.086
HONEST_KFOLD_DAY	a_BASE_225 MINUS a0_BASE_207_no_xa	0.0526197	0.0527437	0.000123953	-0.0372395	0.0374874	128	143.75	1.15971e+06	201	219	0.4672	0.4532	0.701	0.6944	134.414	127.698
HONEST_KFOLD_DAY	c_XASSET_only MINUS a_BASE_225	0.0527437	-0.0142632	-0.0670069	-0.122285	-0.0117292	128	-77708.8	1.15971e+06	219	30	0.4532	0.1262	0.6944	0.6305	127.698	-26.5936
HONEST_KFOLD_RANDOM	b_BASE_plus_XASSET MINUS a_BASE_225	0.156585	0.164064	0.00747922	-0.0449252	0.0598837	128	8673.75	1.15971e+06	219	249	0.6423	0.6668	0.8131	0.8036	321.405	331.476
HONEST_KFOLD_RANDOM	b0_BASE_no_xa_plus_XASSET MINUS a0_BASE_207_no_xa	0.0666232	0.100305	0.0336818	-0.00840611	0.0757698	128	39061.2	1.15971e+06	201	231	0.5599	0.5674	0.7785	0.8122	130.734	198.846
HONEST_KFOLD_RANDOM	a_BASE_225 MINUS a0_BASE_207_no_xa	0.0666232	0.156585	0.089962	0.0361875	0.143736	128	104330	1.15971e+06	201	219	0.5599	0.6423	0.7785	0.8131	130.734	321.405
HONEST_KFOLD_RANDOM	c_XASSET_only MINUS a_BASE_225	0.156585	0.0299589	-0.126626	-0.196461	-0.0567913	128	-146850	1.15971e+06	219	30	0.6423	0.1661	0.8131	0.6744	321.405	53.0439
SOFT_IN_SAMPLE	b_BASE_plus_XASSET MINUS a_BASE_225	0.646833	0.62476	-0.0220723	-0.0464298	0.00228522	128	-25597.5	1.15971e+06	219	249	1	1	1	1	1235.82	1240.65
SOFT_IN_SAMPLE	b0_BASE_no_xa_plus_XASSET MINUS a0_BASE_207_no_xa	0.644937	0.648445	0.00350841	-0.0200042	0.0270211	128	4068.75	1.15971e+06	201	231	1	1	1	1	1272.01	1257.54
SOFT_IN_SAMPLE	a_BASE_225 MINUS a0_BASE_207_no_xa	0.644937	0.646833	0.00189594	-0.0187119	0.0225038	128	2198.75	1.15971e+06	201	219	1	1	1	1	1272.01	1235.82
SOFT_IN_SAMPLE	c_XASSET_only MINUS a_BASE_225	0.646833	0.632401	-0.0144314	-0.0382716	0.0094088	128	-16736.3	1.15971e+06	219	30	1	1	1	1	1235.82	1226.43
