# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# A PAIR = same asset/day/phase-cell, OPPOSITE sides, decision seconds within K* (the frozen EPISODE_CAUSAL link constant: SI 180s / HG 120s / NKD 150s), entry mids within 0.50 x ATR14, one leg's phase-close certificate >= $1000 and the other's <= $900 (the wall)
# 3251 pairs in-cell/K*, 3251 after the vicinity filter
# the per-episode view fields of both legs are in WALL_DISCRIM.tsv (aggregated); episode indices are into artifacts/cache/port/m2/info_ceiling/episodes.npz
pair_id	asset	d8	cell	dt_sec	kstar_sec	mid_gap_usd	mid_gap_atr	win_side	win_sec	lose_sec	win_usd	lose_usd	spread_usd
WP0001	HG	20240105	HG|20240105|2	19	120	0.00125	9.85803e-07	-1	53712	53731	1176.25	-917.5	2093.75
WP0002	HG	20240105	HG|20240105|2	103	120	0.00025	1.97161e-07	-1	53834	53731	1138.75	-917.5	2056.25
WP0003	HG	20240105	HG|20240105|2	47	120	0.00225	1.77445e-06	-1	53834	53881	1138.75	-917.5	2056.25
WP0004	HG	20240105	HG|20240105|2	75	120	0.00325	2.56309e-06	-1	54440	54515	1295	-917.5	2212.5
WP0005	HG	20240105	HG|20240105|2	89	120	0.00375	2.95741e-06	-1	54849	54760	1076.25	-917.5	1993.75
WP0006	HG	20240105	HG|20240105|2	45	120	0.0015	1.18296e-06	-1	55036	55081	1038.75	-917.5	1956.25
WP0007	HG	20240105	HG|20240105|2	46	120	0.00075	5.91482e-07	-1	55828	55782	1026.25	-917.5	1943.75
WP0008	HG	20240105	HG|20240105|2	3	120	0.00025	1.97161e-07	-1	57612	57615	1326.25	-917.5	2243.75
WP0009	HG	20240105	HG|20240105|2	22	120	0.003	2.36593e-06	-1	57879	57901	1326.25	-917.5	2243.75
WP0010	HG	20240105	HG|20240105|2	23	120	0.001	7.88642e-07	-1	59042	59019	1376.25	-917.5	2293.75
WP0011	HG	20240105	HG|20240105|2	48	120	0.001	7.88642e-07	-1	59818	59770	1170	-917.5	2087.5
WP0012	HG	20240105	HG|20240105|2	96	120	0.00025	1.97161e-07	-1	59818	59914	1170	-917.5	2087.5
WP0013	HG	20240105	HG|20240105|2	55	120	0.0005	3.94321e-07	-1	60113	60058	1188.75	-917.5	2106.25
WP0014	HG	20240105	HG|20240105|2	60	120	0.002	1.57728e-06	-1	60310	60250	1201.25	-917.5	2118.75
WP0015	HG	20240105	HG|20240105|2	112	120	0.0015	1.18296e-06	-1	61010	60898	1026.25	-917.5	1943.75
WP0016	HG	20240109	HG|20240109|2	110	120	0.004	3.35859e-06	-1	52813	52703	1020	-917.5	1937.5
WP0017	HG	20240112	HG|20240112|2	108	120	0.0015	1.20717e-06	-1	45741	45633	1051.25	-917.5	1968.75
WP0018	HG	20240112	HG|20240112|2	110	120	0.0005	4.02389e-07	-1	48951	49061	1251.25	-917.5	2168.75
WP0019	HG	20240112	HG|20240112|2	101	120	0.0005	4.02389e-07	-1	51126	51025	1076.25	-917.5	1993.75
WP0020	HG	20240112	HG|20240112|2	28	120	0.001	8.04778e-07	-1	52244	52216	1226.25	-917.5	2143.75
WP0021	HG	20240112	HG|20240112|2	63	120	0.001	8.04778e-07	-1	53275	53212	1151.25	-917.5	2068.75
WP0022	HG	20240112	HG|20240112|2	69	120	0.00025	2.01194e-07	-1	53706	53637	1101.25	-917.5	2018.75
WP0023	HG	20240112	HG|20240112|2	67	120	0.001	8.04778e-07	-1	55622	55555	1063.75	-917.5	1981.25
WP0024	HG	20240112	HG|20240112|2	85	120	0.0005	4.02389e-07	-1	56509	56594	1301.25	-917.5	2218.75
WP0025	HG	20240112	HG|20240112|2	36	120	0.0005	4.02389e-07	-1	56871	56907	1451.25	-917.5	2368.75
WP0026	HG	20240112	HG|20240112|2	70	120	0.003	2.41433e-06	-1	57530	57600	1238.75	-917.5	2156.25
WP0027	HG	20240112	HG|20240112|2	53	120	0.003	2.41433e-06	-1	57653	57600	1088.75	-917.5	2006.25
WP0028	HG	20240124	HG|20240124|1	61	120	0.00025	2.19353e-07	1	29296	29235	1495	-917.5	2412.5
WP0029	HG	20240130	HG|20240130|2	114	120	0.0015	1.32396e-06	1	52955	53069	1207.5	-917.5	2125
WP0030	HG	20240131	HG|20240131|2	96	120	0.001	8.68026e-07	-1	55859	55955	1063.75	-917.5	1981.25
WP0031	HG	20240131	HG|20240131|2	75	120	0.0005	4.34013e-07	-1	57020	57095	1301.25	-917.5	2218.75
WP0032	HG	20240131	HG|20240131|2	58	120	0.005	4.34013e-06	-1	59066	59124	1076.25	-917.5	1993.75
WP0033	HG	20240131	HG|20240131|2	105	120	0.004	3.4721e-06	-1	59229	59124	1051.25	-917.5	1968.75
WP0034	HG	20240131	HG|20240131|2	52	120	0.0005	4.34013e-07	-1	59229	59281	1051.25	-917.5	1968.75
WP0035	HG	20240131	HG|20240131|2	61	120	0.001	8.68026e-07	-1	59467	59528	1026.25	-917.5	1943.75
WP0036	HG	20240131	HG|20240131|2	76	120	0.0005	4.34013e-07	-1	60389	60465	1026.25	-917.5	1943.75
WP0037	HG	20240207	HG|20240207|2	100	120	0	0	-1	49694	49594	1045	-917.5	1962.5
WP0038	HG	20240308	HG|20240308|2	28	120	0	0	-1	52924	52952	1007.5	-917.5	1925
WP0039	HG	20240313	HG|20240313|1	73	120	0.00025	2.31641e-07	1	33290	33363	1088.75	-917.5	2006.25
WP0040	HG	20240313	HG|20240313|1	102	120	0.002	1.85313e-06	1	33828	33930	1182.5	-917.5	2100
WP0041	HG	20240313	HG|20240313|1	86	120	0.00075	6.94922e-07	1	35096	35010	1088.75	-917.5	2006.25
WP0042	HG	20240313	HG|20240313|2	88	120	0.00025	2.31641e-07	1	49018	48930	1488.75	-917.5	2406.25
WP0043	HG	20240313	HG|20240313|2	113	120	0.00225	2.08477e-06	1	49348	49235	1420	-917.5	2337.5
WP0044	HG	20240313	HG|20240313|2	102	120	0.00175	1.62148e-06	1	49348	49450	1420	-917.5	2337.5
WP0045	HG	20240313	HG|20240313|2	90	120	0.0005	4.63281e-07	1	49540	49450	1363.75	-917.5	2281.25
WP0046	HG	20240313	HG|20240313|2	40	120	0.0015	1.38984e-06	1	50313	50273	1195	-917.5	2112.5
WP0047	HG	20240313	HG|20240313|2	113	120	0.0045	4.16953e-06	1	50313	50426	1195	-917.5	2112.5
WP0048	HG	20240313	HG|20240313|2	51	120	0.0005	4.63281e-07	1	50942	50891	1345	-917.5	2262.5
WP0049	HG	20240313	HG|20240313|2	79	120	0.0035	3.24297e-06	1	50942	51021	1345	-917.5	2262.5
WP0050	HG	20240313	HG|20240313|2	71	120	0.001	9.26563e-07	1	51386	51315	1120	-917.5	2037.5
WP0051	HG	20240313	HG|20240313|2	66	120	0.0005	4.63281e-07	1	52376	52442	1270	-917.5	2187.5
WP0052	HG	20240313	HG|20240313|2	39	120	0.0005	4.63281e-07	1	52481	52442	1270	-917.5	2187.5
WP0053	HG	20240313	HG|20240313|2	37	120	0	0	1	53028	52991	1107.5	-917.5	2025
WP0054	HG	20240313	HG|20240313|2	32	120	0.001	9.26563e-07	1	53728	53760	1145	-917.5	2062.5
WP0055	HG	20240313	HG|20240313|2	56	120	0.005	4.63281e-06	1	54064	54120	1032.5	-917.5	1950
WP0056	HG	20240313	HG|20240313|2	80	120	0.00675	6.2543e-06	1	54362	54442	1232.5	-917.5	2150
WP0057	HG	20240313	HG|20240313|2	109	120	0.0035	3.24297e-06	1	55077	54968	1182.5	-917.5	2100
WP0058	HG	20240313	HG|20240313|2	88	120	0.0005	4.63281e-07	1	55077	55165	1182.5	-917.5	2100
WP0059	HG	20240313	HG|20240313|2	49	120	0.0005	4.63281e-07	1	55316	55365	1307.5	-917.5	2225
WP0060	HG	20240313	HG|20240313|2	103	120	0.001	9.26563e-07	1	55468	55365	1345	-917.5	2262.5
WP0061	HG	20240313	HG|20240313|2	62	120	0.0015	1.38984e-06	1	55468	55530	1345	-917.5	2262.5
WP0062	HG	20240313	HG|20240313|2	11	120	0.00025	2.31641e-07	1	55832	55821	1270	-917.5	2187.5
WP0063	HG	20240313	HG|20240313|2	94	120	0.003	2.77969e-06	1	55832	55926	1270	-917.5	2187.5
WP0064	HG	20240313	HG|20240313|2	54	120	0.0005	4.63281e-07	1	56496	56442	1082.5	-917.5	2000
WP0065	HG	20240313	HG|20240313|2	78	120	0.002	1.85313e-06	1	56623	56701	1170	-917.5	2087.5
WP0066	HG	20240313	HG|20240313|2	81	120	0.001	9.26563e-07	1	56782	56701	1095	-917.5	2012.5
WP0067	HG	20240313	HG|20240313|2	85	120	0.00325	3.01133e-06	1	57535	57620	1038.75	-917.5	1956.25
WP0068	HG	20240313	HG|20240313|2	31	120	0.001	9.26563e-07	1	59611	59580	1007.5	-917.5	1925
WP0069	HG	20240314	HG|20240314|0	28	120	0.0015	1.18149e-06	-1	11469	11497	1095	-917.5	2012.5
WP0070	HG	20240315	HG|20240315|0	49	120	0.00075	5.80567e-07	1	10929	10978	1432.5	-917.5	2350
WP0071	HG	20240315	HG|20240315|0	69	120	0.00025	1.93522e-07	1	12865	12934	1451.25	-917.5	2368.75
WP0072	HG	20240315	HG|20240315|0	74	120	0.0015	1.16113e-06	1	13167	13093	1532.5	-917.5	2450
WP0073	HG	20240315	HG|20240315|0	98	120	0.00125	9.67611e-07	1	13167	13265	1532.5	-917.5	2450
WP0074	HG	20240315	HG|20240315|0	106	120	0.0005	3.87045e-07	1	14448	14554	1451.25	-917.5	2368.75
WP0075	HG	20240315	HG|20240315|0	84	120	0.0055	4.25749e-06	1	15002	15086	1351.25	-917.5	2268.75
WP0076	HG	20240315	HG|20240315|0	85	120	0.0025	1.93522e-06	1	16360	16445	1113.75	-917.5	2031.25
WP0077	HG	20240315	HG|20240315|0	85	120	0.002	1.54818e-06	1	16530	16445	1101.25	-917.5	2018.75
WP0078	HG	20240315	HG|20240315|0	107	120	0.003	2.32227e-06	1	16530	16637	1101.25	-917.5	2018.75
WP0079	HG	20240315	HG|20240315|0	60	120	0.0015	1.16113e-06	1	16697	16637	1063.75	-917.5	1981.25
WP0080	HG	20240315	HG|20240315|0	19	120	0.00025	1.93522e-07	1	16843	16862	1101.25	-917.5	2018.75
WP0081	HG	20240320	HG|20240320|2	113	120	0.003	2.25223e-06	1	51060	51173	1163.75	-917.5	2081.25
