# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=e800e849078628d09e1f07eacc8ec2146c571d1b7008f0314d0365fbe4b85075
# ONE Holm family over every p-value this round reports
test	p_raw	p_holm	significant_05
E1 vs_D048_bar	0.000000	0.000000	1
E1 vs_BASE_EARLIEST	0.006268	0.010803	1
E2 vs_D048_bar	0.000000	0.000000	1
E2 vs_BASE_EARLIEST	0.000007	0.000048	1
E3 vs_D048_bar	0.000000	0.000000	1
E3 vs_BASE_EARLIEST	0.000000	0.000000	1
E4 vs_D048_bar	0.000000	0.000000	1
E4 vs_BASE_EARLIEST	0.000002	0.000019	1
E5 vs_D048_bar	0.000000	0.000000	1
E5 vs_BASE_EARLIEST	0.000041	0.000164	1
E6 vs_D048_bar	0.000000	0.000000	1
E6 vs_BASE_EARLIEST	0.005382	0.010803	1
E7 vs_D048_bar	0.000000	0.000000	1
E7 vs_BASE_EARLIEST	0.000007	0.000048	1
E8 vs_D048_bar	0.000000	0.000000	1
E8 vs_BASE_EARLIEST	0.000014	0.000070	1
E1 mirror_paired	0.003601	0.010803	1
E2 mirror_paired	0.000000	0.000000	1
E3 mirror_paired	0.000000	0.000000	1
E4 mirror_paired	0.000000	0.000000	1
E5 mirror_paired	0.000000	0.000000	1
E6 mirror_paired	0.000000	0.000000	1
E7 mirror_paired	0.000006	0.000045	1
E8 mirror_paired	0.000001	0.000011	1
