# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=6cde2ea3933876895c7b6e569626de8ceea99035edf20f86416489f253cea8c1
# ONE Holm family over every p-value this round reports
test	p_raw	p_holm	significant_05
E1 vs_D048_bar	0.000000	0.000000	1
E1 vs_BASE_EARLIEST	0.008661	0.008661	1
E2 vs_D048_bar	0.000000	0.000000	1
E2 vs_BASE_EARLIEST	0.000000	0.000000	1
E3 vs_D048_bar	0.000000	0.000000	1
E3 vs_BASE_EARLIEST	0.000000	0.000000	1
E4 vs_D048_bar	0.000000	0.000000	1
E4 vs_BASE_EARLIEST	0.000041	0.000203	1
E5 vs_D048_bar	0.000000	0.000000	1
E5 vs_BASE_EARLIEST	0.000346	0.001038	1
E6 vs_D048_bar	0.000000	0.000000	1
E6 vs_BASE_EARLIEST	0.002303	0.004607	1
E7 vs_D048_bar	0.000000	0.000000	1
E7 vs_BASE_EARLIEST	0.000007	0.000052	1
E8 vs_D048_bar	0.000000	0.000000	1
E8 vs_BASE_EARLIEST	0.000013	0.000080	1
E1 mirror_paired	0.000098	0.000393	1
E2 mirror_paired	0.000000	0.000000	1
E3 mirror_paired	0.000000	0.000000	1
E4 mirror_paired	0.000000	0.000000	1
E5 mirror_paired	0.000000	0.000000	1
E6 mirror_paired	0.000000	0.000000	1
E7 mirror_paired	0.000000	0.000000	1
E8 mirror_paired	0.000000	0.000003	1
