# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=6cde2ea3933876895c7b6e569626de8ceea99035edf20f86416489f253cea8c1
era	rank	feature	group	gain_share
E1	1	fuel_share_with	fuel_poc	0.071561
E1	2	room_against_usd	geometry	0.029275
E1	3	extreme_age_sec	geometry	0.028767
E1	4	phase_age_sec	runway	0.026785
E1	5	sched_release_in_phase	news	0.021445
E1	6	nd_mins_since_any	news	0.019324
E1	7	ext_needed_usd	geometry	0.016060
E1	8	tf_phase_open_frac	teacher_evidence	0.015190
E1	9	room_with_usd	geometry	0.015119
E1	10	d_poc_usd	fuel_poc	0.014722
E1	11	nd_mins_to_next	news	0.014332
E1	12	ladder_band	regime	0.013856
E1	13	fev_n	news	0.011189
E1	14	coverage_session	seat	0.010312
E1	15	xa_SI_slope5m	xasset	0.010112
E1	16	xa_SI_fuel_share_above	xasset	0.009931
E1	17	tf_phase_open_reset	teacher_evidence	0.009838
E1	18	runway_frac	runway	0.009593
E1	19	is_monday	era	0.009588
E1	20	asset_HG	era	0.009427
E2	1	fuel_share_with	fuel_poc	0.088140
E2	2	room_against_usd	geometry	0.077791
E2	3	ext_needed_usd	geometry	0.046032
E2	4	phase_age_sec	runway	0.032167
E2	5	cell_age_sec	episode	0.025344
E2	6	tf_phase_open_frac	teacher_evidence	0.022209
E2	7	tf_range_phase_usd	teacher_evidence	0.018460
E2	8	cell_rank_so_far	episode	0.018082
E2	9	clock_sin	clock	0.017860
E2	10	dec_sec	clock	0.017307
E2	11	surprise	regime	0.016460
E2	12	fuel_share_above	fuel_poc	0.015725
E2	13	extreme_age_sec	geometry	0.014236
E2	14	xa_SI_fuel_share_above	xasset	0.013988
E2	15	clock_cos	clock	0.013718
E2	16	runway_sess_sec	runway	0.012902
E2	17	fev_sflow_signed	news	0.012610
E2	18	f5m_n	flow	0.012262
E2	19	release_age_sec	news	0.012239
E2	20	fph_n	flow	0.012164
E3	1	fuel_share_with	fuel_poc	0.102586
E3	2	room_against_usd	geometry	0.096424
E3	3	ext_needed_usd	geometry	0.060606
E3	4	cell_age_sec	episode	0.043229
E3	5	phase_age_sec	runway	0.034003
E3	6	tf_range_phase_usd	teacher_evidence	0.021903
E3	7	room_with_usd	geometry	0.019646
E3	8	cell_rank_so_far	episode	0.019393
E3	9	fc_bench_base_rate	forecast	0.018190
E3	10	fev_n	news	0.018143
E3	11	tf_phase_open_frac	teacher_evidence	0.017755
E3	12	fuel_below	fuel_poc	0.015312
