# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=e800e849078628d09e1f07eacc8ec2146c571d1b7008f0314d0365fbe4b85075
era	asset	d8	realised_usd	day_ceiling_usd	oracle_ceiling_usd	n_seated
E1	HG	20210701	-102.500000	3222.500000	2181.250000	3
E1	HG	20210702	135.000000	1516.250000	0.000000	3
E1	HG	20210705	1816.250000	2247.500000	2443.750000	3
E1	HG	20210706	-783.750000	4260.000000	4025.000000	3
E1	HG	20210707	-926.250000	3178.750000	2475.000000	4
E1	HG	20210708	-140.000000	2435.000000	1925.000000	3
E1	HG	20210709	266.250000	3066.250000	2156.250000	3
E1	HG	20210712	-596.250000	2322.500000	1950.000000	3
E1	HG	20210713	160.000000	2047.500000	1918.750000	3
E1	HG	20210714	-15.000000	1960.000000	0.000000	3
E1	HG	20210715	366.250000	2253.750000	1806.250000	3
E1	HG	20210716	41.250000	1591.250000	0.000000	3
E1	HG	20210719	1603.750000	2678.750000	3525.000000	3
E1	HG	20210720	128.750000	2166.250000	1587.500000	3
E1	HG	20210721	-146.250000	2141.250000	1543.750000	3
E1	HG	20210722	310.000000	1697.500000	0.000000	3
E1	HG	20210723	-515.000000	3466.250000	2981.250000	3
E1	HG	20210726	660.000000	4791.250000	3256.250000	3
E1	HG	20210727	203.750000	2935.000000	4375.000000	3
E1	HG	20210728	-515.000000	3147.500000	3250.000000	3
E1	HG	20210729	16.250000	2160.000000	2225.000000	3
E1	HG	20210730	203.750000	3110.000000	4312.500000	3
E1	HG	20210802	-852.500000	3147.500000	2950.000000	3
E1	HG	20210803	1528.750000	2153.750000	3443.750000	3
E1	HG	20210804	303.750000	1878.750000	1637.500000	3
E1	HG	20210805	178.750000	1535.000000	0.000000	3
E1	HG	20210806	-277.500000	3066.250000	1737.500000	3
E1	HG	20210809	-21.250000	3653.750000	3362.500000	3
E1	HG	20210810	-452.500000	2203.750000	2037.500000	3
E1	HG	20210811	-102.500000	1616.250000	0.000000	3
E1	HG	20210812	1228.750000	1841.250000	0.000000	3
E1	HG	20210813	1897.500000	2078.750000	1806.250000	3
E1	HG	20210816	485.000000	1972.500000	1712.500000	3
E1	HG	20210817	141.250000	2685.000000	2068.750000	3
E1	HG	20210818	-1546.250000	3728.750000	4837.500000	3
E1	HG	20210819	1878.750000	5747.500000	3556.250000	3
E1	HG	20210820	-840.000000	4347.500000	4150.000000	3
E1	HG	20210823	-165.000000	3328.750000	3993.750000	3
E1	HG	20210824	1191.250000	2572.500000	1981.250000	3
E1	HG	20210825	97.500000	1991.250000	0.000000	3
E1	HG	20210826	-546.250000	1966.250000	0.000000	3
E1	HG	20210827	178.750000	2947.500000	2656.250000	3
E1	HG	20210830	28.750000	1947.500000	0.000000	3
E1	HG	20210831	-96.250000	1885.000000	0.000000	3
E1	HG	20210901	-1358.750000	2572.500000	1968.750000	3
E1	HG	20210902	-302.500000	1778.750000	0.000000	3
E1	HG	20210903	785.000000	2441.250000	1506.250000	3
E1	HG	20210906	-171.250000	1660.000000	0.000000	3
E1	HG	20210907	566.250000	2185.000000	2131.250000	3
E1	HG	20210908	1085.000000	2903.750000	1787.500000	3
E1	HG	20210909	85.000000	2478.750000	2106.250000	3
E1	HG	20210910	1653.750000	3878.750000	4887.500000	3
E1	HG	20210913	-658.750000	3316.250000	3331.250000	3
E1	HG	20210914	1128.750000	2335.000000	3456.250000	3
E1	HG	20210915	47.500000	3003.750000	1693.750000	3
E1	HG	20210916	841.250000	3310.000000	2550.000000	3
E1	HG	20210917	-471.250000	4447.500000	4043.750000	3
E1	HG	20210920	-1458.750000	3541.250000	3837.500000	3
E1	HG	20210921	-440.000000	3460.000000	5831.250000	3
E1	HG	20210922	-390.000000	4022.500000	4975.000000	3
E1	HG	20210923	1391.250000	1960.000000	2293.750000	3
E1	HG	20210924	1472.500000	2891.250000	3518.750000	3
E1	HG	20210927	1110.000000	1822.500000	1550.000000	3
E1	HG	20210928	366.250000	2903.750000	1731.250000	3
E1	HG	20210929	-58.750000	3103.750000	0.000000	3
E1	HG	20210930	335.000000	3572.500000	3706.250000	3
E1	HG	20211001	-208.750000	4978.750000	2856.250000	3
E1	HG	20211004	-427.500000	3928.750000	3087.500000	3
E1	HG	20211005	460.000000	2535.000000	3218.750000	3
E1	HG	20211006	1685.000000	2847.500000	2581.250000	3
E1	HG	20211007	35.000000	2585.000000	3337.500000	3
E1	HG	20211008	110.000000	3085.000000	1918.750000	3
E1	HG	20211011	1478.750000	2878.750000	2275.000000	3
E1	HG	20211012	-1207.500000	4485.000000	4318.750000	4
E1	HG	20211013	3666.250000	4572.500000	4256.250000	3
E1	HG	20211014	-340.000000	3960.000000	4681.250000	3
E1	HG	20211015	-183.750000	4385.000000	5268.750000	3
E1	HG	20211018	1678.750000	3222.500000	4281.250000	3
E1	HG	20211019	360.000000	4047.500000	5731.250000	3
E1	HG	20211020	-1290.000000	4253.750000	1993.750000	3
E1	HG	20211021	916.250000	5241.250000	5762.500000	3
E1	HG	20211022	16.250000	3716.250000	4612.500000	3
E1	HG	20211025	591.250000	2828.750000	0.000000	3
E1	HG	20211026	1428.750000	2022.500000	3131.250000	3
E1	HG	20211027	-283.750000	3053.750000	4318.750000	3
E1	HG	20211028	1828.750000	2535.000000	2687.500000	3
E1	HG	20211029	-1371.250000	3228.750000	2125.000000	3
E1	HG	20211101	272.500000	2141.250000	1818.750000	3
E1	HG	20211102	-165.000000	3485.000000	4456.250000	3
E1	HG	20211103	-808.750000	3197.500000	4243.750000	3
E1	HG	20211104	197.500000	3510.000000	3043.750000	3
E1	HG	20211105	1660.000000	2503.750000	2268.750000	3
E1	HG	20211108	-233.750000	2441.250000	2100.000000	3
E1	HG	20211109	466.250000	3453.750000	2737.500000	3
E1	HG	20211110	-421.250000	4148.750000	4418.750000	3
E1	HG	20211111	378.750000	2422.500000	3906.250000	3
E1	HG	20211112	60.000000	3060.000000	0.000000	3
E1	HG	20211115	-565.000000	3422.500000	1900.000000	3
E1	HG	20211116	153.750000	2397.500000	3543.750000	3
E1	HG	20211117	-865.000000	5430.000000	5087.500000	3
E1	HG	20211118	-571.250000	3160.000000	2506.250000	3
E1	HG	20211119	-715.000000	3898.750000	4756.250000	3
E1	HG	20211122	1278.750000	2023.750000	1743.750000	3
E1	HG	20211123	491.250000	2148.750000	1625.000000	3
E1	HG	20211124	228.750000	2785.000000	2437.500000	3
E1	HG	20211125	322.500000	2441.250000	0.000000	3
E1	HG	20211126	-558.750000	4578.750000	3456.250000	3
E1	HG	20211129	1578.750000	2128.750000	1568.750000	3
E1	HG	20211130	1016.250000	2410.000000	4287.500000	3
E1	HG	20211201	-1746.250000	4297.500000	4337.500000	3
E1	HG	20211202	866.250000	2222.500000	2012.500000	3
E1	HG	20211203	266.250000	2305.000000	1581.250000	3
E1	HG	20211206	872.500000	2360.000000	0.000000	3
E1	HG	20211207	-96.250000	3110.000000	2200.000000	3
E1	HG	20211208	1066.250000	2286.250000	1843.750000	3
E1	HG	20211209	-71.250000	1978.750000	2243.750000	3
E1	HG	20211210	866.250000	2048.750000	1575.000000	3
E1	HG	20211213	347.500000	1435.000000	0.000000	3
E1	HG	20211214	366.250000	1610.000000	0.000000	3
E1	HG	20211215	-1221.250000	5217.500000	4637.500000	3
E1	HG	20211216	-183.750000	2455.000000	2450.000000	3
E1	HG	20211217	491.250000	1972.500000	0.000000	3
E1	HG	20211220	-702.500000	2703.750000	1793.750000	3
E1	HG	20211221	-21.250000	1797.500000	0.000000	3
E1	HG	20211222	-390.000000	1805.000000	0.000000	3
E1	HG	20211223	-145.000000	2023.750000	1662.500000	4
E1	HG	20211227	747.500000	3328.750000	3643.750000	3
E1	HG	20211228	891.250000	2372.500000	1756.250000	3
E1	HG	20211229	-352.500000	2366.250000	0.000000	3
E1	HG	20211230	-96.250000	1798.750000	0.000000	3
E1	HG	20211231	-77.500000	2091.250000	1556.250000	3
E1	NKD	20210701	-27.500000	2385.000000	0.000000	3
E1	NKD	20210702	-27.500000	735.000000	0.000000	3
E1	NKD	20210705	297.500000	1210.000000	0.000000	3
E1	NKD	20210706	435.000000	2010.000000	1737.500000	3
E1	NKD	20210707	160.000000	1922.500000	0.000000	3
E1	NKD	20210708	-152.500000	4410.000000	3112.500000	3
E1	NKD	20210709	685.000000	5560.000000	4275.000000	3
E1	NKD	20210712	-115.000000	1897.500000	1525.000000	3
E1	NKD	20210713	535.000000	1597.500000	0.000000	3
E1	NKD	20210714	60.000000	1122.500000	0.000000	3
E1	NKD	20210715	660.000000	2785.000000	1525.000000	3
E1	NKD	20210716	-290.000000	3197.500000	3187.500000	3
E1	NKD	20210719	-265.000000	2310.000000	3037.500000	3
E1	NKD	20210720	247.500000	3147.500000	2375.000000	3
E1	NKD	20210721	-140.000000	3397.500000	4087.500000	3
E1	NKD	20210722	797.500000	1710.000000	0.000000	3
E1	NKD	20210723	197.500000	1135.000000	0.000000	3
E1	NKD	20210726	-115.000000	2760.000000	3587.500000	3
E1	NKD	20210727	635.000000	2647.500000	4462.500000	3
E1	NKD	20210728	60.000000	2222.500000	1887.500000	3
E1	NKD	20210729	697.500000	1835.000000	1512.500000	3
E1	NKD	20210730	47.500000	2985.000000	3675.000000	3
E1	NKD	20210802	135.000000	2647.500000	1962.500000	3
E1	NKD	20210803	1410.000000	1710.000000	0.000000	3
E1	NKD	20210804	560.000000	797.500000	0.000000	3
E1	NKD	20210805	-90.000000	1410.000000	0.000000	3
E1	NKD	20210806	760.000000	1047.500000	0.000000	3
E1	NKD	20210809	735.000000	1335.000000	0.000000	3
E1	NKD	20210810	422.500000	1722.500000	1650.000000	3
E1	NKD	20210811	722.500000	1372.500000	0.000000	3
E1	NKD	20210812	1160.000000	2060.000000	0.000000	3
E1	NKD	20210813	-290.000000	1610.000000	0.000000	3
E1	NKD	20210816	1347.500000	3322.500000	1975.000000	3
E1	NKD	20210817	-815.000000	2572.500000	2550.000000	3
E1	NKD	20210818	1347.500000	2447.500000	1662.500000	3
E1	NKD	20210819	-765.000000	3285.000000	2187.500000	3
E1	NKD	20210820	-177.500000	3247.500000	1850.000000	3
E1	NKD	20210823	-177.500000	2197.500000	0.000000	3
E1	NKD	20210824	35.000000	1010.000000	0.000000	3
E1	NKD	20210825	-365.000000	935.000000	0.000000	3
E1	NKD	20210826	-302.500000	1235.000000	0.000000	3
E1	NKD	20210827	-102.500000	1872.500000	1537.500000	3
E1	NKD	20210830	322.500000	1060.000000	0.000000	3
E1	NKD	20210831	-915.000000	3460.000000	2475.000000	3
E1	NKD	20210901	110.000000	2597.500000	1850.000000	3
E1	NKD	20210902	285.000000	1210.000000	0.000000	3
E1	NKD	20210903	585.000000	5822.500000	4612.500000	3
E1	NKD	20210906	1085.000000	3410.000000	3537.500000	3
E1	NKD	20210907	-177.500000	2622.500000	3275.000000	3
E1	NKD	20210908	-65.000000	3997.500000	3912.500000	3
E1	NKD	20210909	460.000000	2085.000000	1987.500000	3
E1	NKD	20210910	-1252.500000	3872.500000	3475.000000	3
E1	NKD	20210913	-140.000000	3060.000000	4012.500000	3
E1	NKD	20210914	422.500000	2247.500000	0.000000	3
E1	NKD	20210915	-377.500000	2410.000000	0.000000	3
E1	NKD	20210916	472.500000	2060.000000	1650.000000	3
E1	NKD	20210917	-527.500000	2697.500000	0.000000	3
E1	NKD	20210920	-202.500000	3860.000000	4075.000000	3
E1	NKD	20210921	210.000000	3435.000000	1950.000000	3
E1	NKD	20210922	622.500000	1672.500000	0.000000	3
E1	NKD	20210923	135.000000	2497.500000	0.000000	3
E1	NKD	20210924	-465.000000	2385.000000	0.000000	3
E1	NKD	20210927	422.500000	1285.000000	0.000000	3
E1	NKD	20210928	222.500000	2547.500000	3600.000000	3
E1	NKD	20210929	1585.000000	2485.000000	1600.000000	3
E1	NKD	20210930	1135.000000	3672.500000	4800.000000	3
E1	NKD	20211001	-1377.500000	5085.000000	5025.000000	3
E1	NKD	20211004	-2052.500000	8072.500000	6650.000000	3
E1	NKD	20211005	185.000000	3497.500000	2187.500000	3
E1	NKD	20211006	-1752.500000	8297.500000	6400.000000	3
E1	NKD	20211007	2110.000000	2535.000000	4700.000000	3
E1	NKD	20211008	572.500000	1560.000000	1625.000000	3
E1	NKD	20211011	322.500000	4372.500000	3475.000000	3
E1	NKD	20211012	-1415.000000	4272.500000	2012.500000	3
E1	NKD	20211013	710.000000	2197.500000	1912.500000	3
E1	NKD	20211014	-1027.500000	2785.000000	3800.000000	3
E1	NKD	20211015	-815.000000	2197.500000	2600.000000	3
E1	NKD	20211018	-127.500000	2647.500000	1662.500000	3
E1	NKD	20211019	397.500000	1747.500000	1700.000000	3
E1	NKD	20211020	160.000000	1685.000000	0.000000	3
E1	NKD	20211021	322.500000	4247.500000	2500.000000	3
E1	NKD	20211022	-152.500000	3272.500000	2850.000000	3
