# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=6cde2ea3933876895c7b6e569626de8ceea99035edf20f86416489f253cea8c1
era	asset	d8	realised_usd	day_ceiling_usd	oracle_ceiling_usd	n_seated
E1	HG	20210701	-65.000000	3222.500000	2181.250000	3
E1	HG	20210702	85.000000	1516.250000	0.000000	3
E1	HG	20210705	1222.500000	2247.500000	2443.750000	3
E1	HG	20210706	766.250000	4260.000000	4025.000000	3
E1	HG	20210707	297.500000	3178.750000	2475.000000	3
E1	HG	20210708	-352.500000	2435.000000	1925.000000	3
E1	HG	20210709	2091.250000	3066.250000	2156.250000	3
E1	HG	20210712	-290.000000	2322.500000	1950.000000	3
E1	HG	20210713	372.500000	2047.500000	1918.750000	3
E1	HG	20210714	-202.500000	1960.000000	0.000000	3
E1	HG	20210715	472.500000	2253.750000	1806.250000	3
E1	HG	20210716	-21.250000	1591.250000	0.000000	3
E1	HG	20210719	241.250000	2678.750000	3525.000000	3
E1	HG	20210720	128.750000	2166.250000	1587.500000	3
E1	HG	20210721	-271.250000	2141.250000	1543.750000	3
E1	HG	20210722	353.750000	1697.500000	0.000000	3
E1	HG	20210723	-408.750000	3466.250000	2981.250000	3
E1	HG	20210726	28.750000	4791.250000	3256.250000	3
E1	HG	20210727	-1621.250000	2935.000000	4375.000000	3
E1	HG	20210728	-515.000000	3147.500000	3250.000000	3
E1	HG	20210729	-27.500000	2160.000000	2225.000000	3
E1	HG	20210730	735.000000	3110.000000	4312.500000	3
E1	HG	20210802	-677.500000	3147.500000	2950.000000	3
E1	HG	20210803	247.500000	2153.750000	3443.750000	3
E1	HG	20210804	191.250000	1878.750000	1637.500000	3
E1	HG	20210805	178.750000	1535.000000	0.000000	3
E1	HG	20210806	-771.250000	3066.250000	1737.500000	3
E1	HG	20210809	66.250000	3653.750000	3362.500000	3
E1	HG	20210810	497.500000	2203.750000	2037.500000	3
E1	HG	20210811	-71.250000	1616.250000	0.000000	3
E1	HG	20210812	1003.750000	1841.250000	0.000000	3
E1	HG	20210813	1622.500000	2078.750000	1806.250000	3
E1	HG	20210816	-202.500000	1972.500000	1712.500000	3
E1	HG	20210817	-27.500000	2685.000000	2068.750000	3
E1	HG	20210818	-1290.000000	3728.750000	4837.500000	3
E1	HG	20210819	-1321.250000	5747.500000	3556.250000	3
E1	HG	20210820	-933.750000	4347.500000	4150.000000	3
E1	HG	20210823	285.000000	3328.750000	3993.750000	3
E1	HG	20210824	1110.000000	2572.500000	1981.250000	3
E1	HG	20210825	185.000000	1991.250000	0.000000	3
E1	HG	20210826	-283.750000	1966.250000	0.000000	3
E1	HG	20210827	478.750000	2947.500000	2656.250000	3
E1	HG	20210830	122.500000	1947.500000	0.000000	3
E1	HG	20210831	466.250000	1885.000000	0.000000	3
E1	HG	20210901	316.250000	2572.500000	1968.750000	3
E1	HG	20210902	153.750000	1778.750000	0.000000	3
E1	HG	20210903	147.500000	2441.250000	1506.250000	3
