target	status	pre_identity	recovery_artifact	recovery_command	authorization	postcheck
/workspace/-.png	APPROVED_PENDING_CUTOVER	file:bytes=666412:sha256=41051ada23191621378d0fc45e99f706a79100cf6f95d19b6ef73180f1fbb9ac:mode=666:dev=67:ino=53837569:mtime_ns=1784446954000000000:ctime_ns=1784446954000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/.cache	APPROVED_PENDING_CUTOVER	directory:entries=330:regular_bytes=135285939:tree_sha256=fd586401da56d3c7f0b274ac60af215f4593b38a1c9587dfca14e2d6ec4acc91:mode=777:dev=67:ino=443783930:mtime_ns=1785697534000000000:ctime_ns=1785697534000000000	NONE_REPRODUCIBLE_CACHE	recreate_from_clean_lockfiles_if_needed	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/.cargo	APPROVED_PENDING_CUTOVER	directory:entries=3644:regular_bytes=44203514:tree_sha256=94562d3dc8d6c036888113b83b50d5e994e902104db9ed2d272b3b211578c5d1:mode=777:dev=67:ino=292773129:mtime_ns=1784602924000000000:ctime_ns=1784602924000000000	NONE_REPRODUCIBLE_CACHE	recreate_from_clean_lockfiles_if_needed	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/.claude	APPROVED_PENDING_CUTOVER	directory:entries=6:regular_bytes=10941:tree_sha256=7631020450dd112cb3d6e24b248ae391fad878abb65d385f818a1b57e2a42c42:mode=777:dev=67:ino=734066856:mtime_ns=1785939612000000000:ctime_ns=1785939612000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/.env	APPROVED_PENDING_CUTOVER	file:bytes=211:sha256=246adb714ade96e9a9c51aacff86014dfe0826da122bfd3a2e74b06a8d27b97b:mode=666:dev=67:ino=533575563:mtime_ns=1784272155000000000:ctime_ns=1784272155000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/.git	APPROVED_PENDING_CUTOVER	directory:entries=2738:regular_bytes=1612248047:tree_sha256=66b903ce23c980278e8bd047b30da2831b2a85972e69072b2c238d673b2264ef:mode=777:dev=67:ino=535014026:mtime_ns=1786375078000000000:ctime_ns=1786375078000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/.gitignore	APPROVED_PENDING_CUTOVER	file:bytes=1706:sha256=c8c6287652559053fb5294269dcb9d0c88c455a1faa0268e496d9546c69f00f0:mode=666:dev=67:ino=32007391:mtime_ns=1786121568000000000:ctime_ns=1786121568000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/.pytest_cache	APPROVED_PENDING_CUTOVER	directory:entries=8:regular_bytes=1097:tree_sha256=bfa1782804943ba0875e0965d475483461ab9d57c163e72d9fe3dae25a6425c9:mode=777:dev=67:ino=144727202:mtime_ns=1786168300000000000:ctime_ns=1786168300000000000	NONE_REPRODUCIBLE_CACHE	recreate_from_clean_lockfiles_if_needed	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/.ruff_cache	APPROVED_PENDING_CUTOVER	directory:entries=6:regular_bytes=470:tree_sha256=9ad3fad80b73679c65b941fc35999f14bd4bf5cd0f23d10ff45fc839bf1e4c5c:mode=777:dev=67:ino=22133171:mtime_ns=1786302919000000000:ctime_ns=1786302919000000000	NONE_REPRODUCIBLE_CACHE	recreate_from_clean_lockfiles_if_needed	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/.tools	APPROVED_PENDING_CUTOVER	directory:entries=192:regular_bytes=16594138:tree_sha256=992ad86e2fb6c82794cec9e6140354e1e131f8c800fa2027829201a5421b3540:mode=777:dev=67:ino=5887060:mtime_ns=1784587020000000000:ctime_ns=1784587020000000000	NONE_REPRODUCIBLE_CACHE	recreate_from_clean_lockfiles_if_needed	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
