ref	status	object_oid	object_type	peeled_oid	recovery_artifact	authorization	postcheck
refs/codex/turn-diffs/checkpoints/41572df9618d183264ecb3fab1e2adc88823d950a847a28b1b9516aebe5c3375/dc819858f89fcd9f5ed85751bd499642b46e13d77fe2560182207d2ecb4efb33/1782940299016/0fb030e6-76d6-4ad6-9e92-73a4c87df289	RETIRED_LOCAL_RECOVERABLE	cac3e0cd788cf1edd94a40f52230e7f2c91419c4	tree		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/codex/downstream-authority-v1	RETIRED_LOCAL_RECOVERABLE	004f9861585f54f2324fd8ea7caa9f3ff6bf6305	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/codex/lega-s0-runtime-v1	RETIRED_LOCAL_RECOVERABLE	004f9861585f54f2324fd8ea7caa9f3ff6bf6305	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/correction/select3-frontier-one-sweep	RETIRED_LOCAL_RECOVERABLE	c5996df6c202802cf7d3a70dd6bb0f81492ffa75	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/entries-oracle-v1	RETIRED_LOCAL_RECOVERABLE	7dabed3539a2e4c1859d6bbb6da0431387e82f53	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/entries-oracle-v1-cleanpush	RETIRED_LOCAL_RECOVERABLE	00e5ccc10b67371cbdd6141ac895ac3f1ab55a5f	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/entries-oracle-v1-publish	RETIRED_LOCAL_RECOVERABLE	3d829b90486ec240c6ba886352629f675df7c98b	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/entries-oracle-v1-source-sync	RETIRED_LOCAL_RECOVERABLE	7c772f16b57c1987a4c13bb51999a179f6724f83	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/handoff/select3-carrier-source-core-csc01	RETIRED_LOCAL_RECOVERABLE	4241af6365203f402551d94f03229fcd26bf16ba	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
refs/heads/handoff/select3-carrier-source-core-csc02	RETIRED_LOCAL_RECOVERABLE	a2b00c59ee52b746f9d339b4fa0ef74fb9cafe84	commit		/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	EXACT_REF_PRESENT_IN_RESTORE_PROOF_NEW_REPO_ONLY_MAIN
